i_id,wranking,nranking,year
88,701,3,2020
88,601,3,2019
318,901,8,2020
318,701,6,2019
332,301,4,2020
332,201,4,2019
332,201,4,2018
332,201,4,2017
332,201,4,2016
333,401,3,2020
333,301,2,2019
333,301,2,2018
333,401,3,2017
333,401,3,2016
334,69,2,2020
334,60,2,2019
334,65,2,2018
334,65,2,2017
334,65,2,2016
340,901,60,2020
340,801,51,2019
409,801,4,2020
409,701,4,2019
411,801,1,2020
443,701,28,2019
451,801,3,2020
451,701,2,2019
453,701,103,2020
454,101,6,2020
454,101,4,2019
454,101,4,2018
454,101,4,2017
454,101,4,2016
455,801,25,2020
455,701,22,2019
456,701,2,2019
501,701,2,2020
501,701,2,2019
505,801,8,2020
507,901,10,2020
507,901,11,2019
655,601,1,2020
655,601,1,2019
664,801,182,2020
664,701,172,2019
665,501,2,2020
665,501,4,2019
665,401,2,2018
665,401,2,2017
665,401,2,2016
686,901,121,2019
687,701,103,2020
687,801,107,2019
688,701,103,2020
688,901,121,2019
689,801,6,2020
689,801,8,2019
692,901,10,2020
692,901,11,2019
774,501,2,2020
774,401,2,2019
774,401,2,2018
774,401,2,2017
774,401,2,2016
783,101,42,2020
783,101,46,2019
783,101,47,2018
783,101,49,2017
783,101,51,2016
804,701,103,2020
804,601,73,2019
852,901,13,2020
867,701,46,2020
893,501,134,2020
893,501,138,2019
903,901,191,2020
903,901,193,2019
923,501,24,2020
923,501,24,2019
930,201,2,2020
930,201,2,2019
930,301,5,2018
930,301,4,2017
930,301,4,2016
931,301,6,2020
931,301,6,2019
931,301,5,2018
931,301,4,2017
931,201,2,2016
1144,701,1,2020
1144,701,1,2019
1145,801,8,2019
1172,901,11,2019
1174,701,46,2020
1174,601,44,2019
1174,401,35,2017
1174,401,34,2016
1188,401,5,2020
1188,401,5,2019
1188,401,5,2018
1188,401,5,2017
1227,151,57,2020
1227,101,46,2019
1227,101,47,2018
1227,101,49,2017
1227,101,51,2016
1228,501,134,2020
1228,501,138,2019
1260,151,14,2020
1260,201,18,2019
1260,201,13,2018
1260,301,19,2017
1260,301,19,2016
1261,701,103,2020
1261,601,73,2019
1262,201,23,2020
1262,301,28,2019
1262,401,36,2018
1263,401,50,2020
1263,501,59,2019
1264,201,23,2020
1264,201,18,2019
1264,201,13,2018
1264,201,10,2017
1264,201,10,2016
1265,301,33,2020
1265,401,40,2019
1265,401,36,2018
1265,401,32,2016
1266,901,121,2019
1267,601,85,2020
1267,701,91,2019
1268,401,50,2020
1268,501,59,2019
1296,401,5,2020
1296,401,5,2019
1296,401,5,2018
1296,401,5,2017
1296,401,5,2016
1343,901,10,2020
1343,901,11,2019
1346,701,40,2020
1346,501,31,2019
1346,401,29,2018
1346,401,27,2017
1346,401,28,2016
1348,801,6,2020
1348,701,2,2019
1350,501,134,2020
1350,901,193,2019
1354,901,60,2020
1354,901,56,2019
1409,501,18,2020
1411,801,107,2019
1414,801,182,2020
1419,901,32,2020
1419,901,32,2019
1430,501,134,2020
1430,401,117,2019
1430,301,96,2018
1430,301,100,2017
1430,301,99,2016
1432,90,38,2020
1432,76,36,2019
1432,70,34,2018
1432,80,40,2017
1432,75,39,2016
1446,301,95,2020
1446,301,95,2019
1446,201,70,2018
1446,301,100,2017
1446,201,72,2016
1454,701,31,2020
1454,601,25,2019
1468,401,115,2020
1468,401,117,2019
1468,401,118,2018
1468,301,100,2017
1468,401,120,2016
1542,101,42,2020
1542,84,38,2019
1542,101,47,2018
1542,101,49,2017
1542,90,45,2016
1544,501,37,2020
1544,501,37,2019
1544,401,35,2018
1544,401,35,2017
1544,401,34,2016
1585,801,3,2020
1585,801,3,2019
1920,501,1,2020
1920,501,1,2019
1980,401,115,2020
1980,401,117,2019
1981,601,155,2020
1981,801,182,2019
1994,401,1,2020
1994,301,1,2019
1994,401,1,2018
1994,401,1,2017
1994,401,1,2016
2015,8,7,2020
2015,9,7,2019
2015,9,7,2018
2015,9,7,2017
2015,8,6,2016
2090,301,33,2020
2090,301,28,2019
2090,401,36,2018
2090,301,19,2017
2090,401,32,2016
2118,151,16,2020
2118,101,9,2019
2118,101,9,2018
2118,99,9,2017
2118,101,9,2016
2184,501,20,2020
2184,701,22,2019
2190,901,38,2020
2196,95,40,2020
2196,95,41,2019
2196,91,43,2018
2196,80,40,2017
2196,68,36,2016
2230,101,42,2020
2230,101,46,2019
2230,101,47,2018
2230,101,49,2017
2230,101,51,2016
2240,501,2,2019
2240,401,2,2018
2240,401,2,2017
2241,701,21,2020
2241,701,22,2019
2241,301,7,2016
2242,151,4,2020
2242,151,3,2019
2242,151,3,2018
2242,101,3,2017
2242,151,3,2016
2243,601,25,2020
2243,401,11,2019
2279,501,72,2020
2309,101,7,2020
2309,151,9,2019
2309,201,13,2018
2309,301,19,2017
2309,301,19,2016
2323,601,22,2019
2348,301,7,2020
2348,301,7,2019
2348,201,6,2018
2348,201,6,2017
2348,201,6,2016
2370,501,6,2020
2370,501,4,2019
2370,401,4,2018
2370,301,3,2017
2370,301,3,2016
2371,801,121,2020
2371,901,121,2019
2372,901,132,2020
2372,901,121,2019
2382,201,1,2020
2382,201,1,2019
2382,201,1,2018
2382,201,1,2017
2382,201,1,2016
2409,801,48,2019
2417,901,4,2020
2417,801,3,2019
2418,401,11,2020
2418,401,11,2019
2418,301,10,2018
2418,301,10,2017
2418,301,10,2016
2427,301,33,2020
2427,301,28,2019
2427,301,24,2018
2427,401,34,2017
2427,301,19,2016
2428,151,1,2016
2429,601,85,2020
2429,701,91,2019
2430,201,1,2020
2430,301,2,2019
2430,201,2,2018
2430,151,1,2017
2431,801,121,2020
2431,801,107,2019
2432,401,50,2020
2432,601,73,2019
2433,301,33,2020
2433,401,40,2019
2433,401,36,2018
2433,301,19,2017
2433,301,19,2016
2434,801,121,2020
