i_id,c_id,Institution
1228,6784,Baylor University
5388,6784,Iowa State University
5655,6784,Kansas State University
8002,6784,Oklahoma State University
10559,6784,Texas Christian University
10578,6784,Texas Tech University
11369,6784,University of Kansas
11514,6784,University of Oklahoma
10802,6784,The University of Texas at Austin
12284,6784,West Virginia University
11313,8588,University of Florida
11320,8588,University of Georgia
11374,8588,University of Kentucky
11453,8588,University of Missouri
11674,8588,University of South Carolina
11713,8588,University of Tennessee
11915,8588,Vanderbilt University
10771,8588,The University of Alabama
11186,8588,University of Arkansas
893,8588,Auburn University
6245,8588,Louisiana State University - Baton Rouge
11450,8588,University of Mississippi
7049,8588,Mississippi State University
10551,8588,Texas A&M University
11257,5440,University of Central Florida
11265,5440,University of Cincinnati
3416,5440,East Carolina University
11347,5440,University of Houston
11435,5440,University of Memphis
11684,5440,University of South Florida
9934,5440,Southern Methodist University
10498,5440,Temple University
10986,5440,Tulane University
11728,5440,University of Tulsa
12374,5440,Wichita State University
1430,2061,Boston College
2527,2061,Clemson University
4033,2061,Florida State University
11404,2061,University of Louisville
7692,2061,North Carolina State University - Raleigh
11511,2061,University of Notre Dame
10253,2061,Syracuse University
12163,2061,Wake Forest University
3292,2061,Duke University
4277,2061,Georgia Institute of Technology
11437,2061,University of Miami
11495,2061,University of North Carolina at Chapel Hill
11615,2061,University of Pittsburgh
11746,2061,University of Virginia
12006,2061,Virginia Polytechnic Institute and State University
5216,7907,Indiana University Bloomington
11423,7907,"University of Maryland, College Park"
11438,7907,University of Michigan-Ann Arbor
6916,7907,Michigan State University
7977,7907,Ohio State University
8420,7907,Pennsylvania State University
9080,7907,Rutgers University
11357,7907,University of Illinois at Urbana-Champaign
11362,7907,University of Iowa
11445,7907,"University of Minnesota, Twin Cities"
11472,7907,University of Nebraska - Lincoln
7839,7907,Northwestern University
8651,7907,Purdue University - West Lafayette
11758,7907,University of Wisconsin - Madison
11172,2946,University of Alabama at Birmingham
3990,2946,Florida Atlantic University
4015,2946,Florida International University
6256,2946,Louisiana Tech University
6684,2946,Marshall University
6939,2946,Middle Tennessee State University
11496,2946,University of North Carolina at Charlotte
11503,2946,University of North Texas
8011,2946,Old Dominion University
8950,2946,Rice University
11690,2946,University of Southern Mississippi
11715,2946,University of Texas at El Paso
10804,2946,The University of Texas at San Antonio
12305,2946,Western Kentucky University
10770,6845,The University of Akron
1436,6845,Bowling Green State University
11162,6845,University at Buffalo
