instname,city,state,zip
Brown College-Brooklyn Center,Brooklyn Center,MN,55430
Marian Health Careers Center-Van Nuys Campus,Van Nuys,CA,91411
Springfield College-School of Human Services,Springfield,MA,1109
American Broadcasting School-Online Program,Oklahoma City,OK,73115
Kaplan College-Chesapeake,Chesapeake,VA,23320
The University of America,Murrieta,CA,92563
Whitworth University-Adult Degree Programs,Spokane,WA,99251
Miller-Motte Technical College,Roanoke,VA,24018
Rio Grande Bible Institute,Edinburg,TX,78539-9650
San Joaquin Valley College-Temecula,Temecula,CA,92590
Western Shores Institute Inc,Dunkirk,MD,20754
Fortis College-Montgomery,Montgomery,AL,36117
South University–Savannah Online,Savannah,GA,31406
International Academy of Medical Reflexology,Allentown,PA,18109
Miller-Motte Technical College-Gulfport,Gulfport,MS,39503
Miller-Motte Technical College-Macon,Macon,GA,31210
Sanford-Brown Institute-Austin,Austin,TX,78753
Brown Mackie College-Oklahoma City,Oklahoma City,OK,73132
Relay Graduate School of Education,New York,NY,10011
Fortis Institute-Lawrenceville,Lawrenceville,NJ,8648
Aveda Institute Des Moines,West Des Moines,IA,50266
All-State Career School-Allied Health Campus,Essington,PA,19029
University of Phoenix-Shreveport-Bossier,Bossier City,LA,71111-4390
University of Phoenix-Lafayette,Lafayette,LA,70508-3295
University of Phoenix-Baton Rouge,Baton Rouge,LA,70808-2300
Hair Design Institute,Apopka,FL,32703
Avalon School of Cosmetology-Layton,Layton,UT,84041
Avalon School of Cosmetology-Phoenix,Phoenix,AZ,85022
CollegeAmerica-Stevens Henager College,Idaho Falls,ID,83404
CollegeAmerica-Phoenix,Phoenix,AZ,85051
Minneapolis Media Institute,Edina,MN,55435
Learnet Academy,Los Angeles,CA,90020
Azusa Pacific Online University,Glendora,CA,91740
University of Phoenix-Knoxville,Knoxville,TN,37932-3347
ITT Technical Institute-Myrtle Beach,Myrtle Beach,SC,29572-0000
ITT Technical Institute-Waco,Waco,TX,76706-0000
ITT Technical Institute-Orlando,Orlando,FL,32819-9025
ITT Technical Institute-Brooklyn Center,Brooklyn Center,MN,55430-4100
ITT Technical Institute-Phoenix West,Phoenix,AZ,85037-4445
ITT Technical Institute-University Park,University Park,FL,34201-3007
Tricoci University of Beauty Culture,Chicago,IL,60626-5232
Manuel and Theresa's School of Hair Design,Victoria,TX,77902-7076
Regina's College of Beauty,Augusta,GA,30906-0000
Brown Mackie College-Birmingham,Birmingham,AL,35209-4701
Art Institute of Wisconsin (The),Milwaukee,WI,53202-5837
WellSpring School of Allied Health,Lawrence,KS,66045-3073
Buchanan Beauty College,Tullahoma,TN,37388-3409
Career Quest Learning Center-Kalamazoo,Kalamazoo,MI,49002-1711
Aveda Fredric's Institute,Los Angeles,CA,90024-2808
Unitech Training Academy-Lake Charles,Lake Charles,LA,70601-7887
Unitech Training Academy-Alexandria,Alexandria,LA,71301
Star Career Academy-Clifton,Clifton,NJ,07011-2248
Midwest Technical Institute,Moline,IL,61265-4421
Oklahoma Technical College,Tulsa,OK,74145-1122
Allen School-Phoenix,Phoenix,AZ,85053-4064
Sanford-Brown College-Skokie,Skokie,IL,60077-2900
Tint School of Makeup & Cosmetology-Grand Prairie,Grand Prairie,TX,75051-4804
Sanford-Brown College-Portland,Portland,OR,97205-2798
Heritage College-Columbus,Columbus,OH,43213
New England Tractor Trailer Training School of Massachusetts,North Andover,MA,01845-1048
Houston Training Schools,Houston,TX,77074-2007
MarJon School of Beauty Culture,Lockport,NY,14094-3702
CET-Soledad,Soledad,CA,93960-2996
Beauty Schools of America,Miami Beach,FL,33139-6504
Harrison College,Morrisville,NC,27560-0000
Northwest College,Tualatin,OR,97062-9462
South University-Novi,Novi,MI,48377-3103
South University-The Art Institute of Fort Worth,Fort Worth,TX,76116-4183
South University-Accelerated Graduate Programs,Atlanta,GA,30328-6773
Kenneth Shuler School of Cosmetology,Greenville,SC,29611-7553
Everest College-Melrose Park,Melrose Park,IL,60160-1526
Paul Mitchell The School-Charleston,North Charleston,SC,29418-6993
Paul Mitchell The School-Columbia,Columbia,SC,29201-3126
Advanced Institute of Hair Design,Madison,WI,53715-1030
Broadview University,Meridian,ID,83642-0000
Everest College-Atlanta West,Atlanta,GA,30331-2620
Fortis College,Akron,OH,44310-0000
Everest College-Bedford Park,Bedford Park,IL,60629-5819
Continental School of Beauty Culture,Mattydale,NY,13211-1003
ITT Technical Institute-Oakland,Oakland,CA,94621-2015
Chamberlain College of Nursing-Texas,Houston,TX,77041
Chamberlain College of Nursing-Missouri,St. Louis,MO,63146-0000
Globe University-Appleton,Grand Chute,WI,54914-0000
National American University-Colorado Springs South,Colorado Springs,CO,80915-3612
National American University-Lee's Summit,Lee Summit,MO,64081-1425
National American University-Centennial,Centennial,CO,80122-3157
National American University-Tulsa,Tulsa,OK,74133-8945
Independence University,Salt Lake City,UT,84107
Everest College-Milwaukee,Milwaukee,WI,53212-4006
University of Phoenix-Delaware,Wilmington,DE,19801-5150
University of Phoenix-Jackson Campus,Flowood,MS,39232-8205
ITT Technical Institute-Hanover,Hanover,MD,21076-1577
ITT Technical Institute-Durham,Durham,NC,27707-2554
John Paul the Great Catholic University,San Diego,CA,92131-1652
Salon Professional Academy (The),Shorewood,IL,60404-8789
"International College of Beauty, Arts & Sciences",Los Angeles,CA,90039-1012
National Personal Training Institute of Colorado,Colorado Springs,CO,80918-5925
J Renee Career Facilitation,Elgin,IL,60123
Northwestern Institute of Health and Technology,Chicago,IL,60640-4785
Paul Mitchell The School Spokane,Spokane Valley,WA,99037-5041
Academy for Salon Professionals,Canoga Park,CA,91304-2305
State Career School,Waukegan,IL,60085-5129
Institute for Doctoral Studies in the Visual Arts,Portland,ME,04102-0000
Florida Academy,Fort Myers,FL,33966-1155
Hair Academy (The),Montgomery,AL,36111-2201
Paul Mitchell the School Las Vegas,Las Vegas,NV,89123-8014
Elite School of Cosmetology,Norwalk,OH,44857-2714
Academy for Salon Professionals (The),Santa Clara,CA,95050-4057
Salinas Beauty College Inc,Salinas,CA,93901-2405
Northeast Technical Institute,Scarborough,ME,04074-0000
Colorado Academy of Veterinary Technology,Colorado Springs,CO,80906-4944
Protege Academy,East Lansing,MI,48823-8660
Seymour Beauty Academy,Seymour,MO,65746-8743
Taylor Andrews Academy-St. George,St. George,UT,84790-2139
Paul Mitchell The School Indianapolis,Indianapolis,IN,46227-6252
Salon Professional Academy of Kenosha (The),Kenosha,WI,53142-4950
Abcott Institute,Southfield,MI,48075-5227
Millennia Atlantic University,Doral,FL,33178-2369
First Class Cosmetology School,Beloit,WI,53511-0000
Best Care Training Institute,East Orange,NJ,07018-1703
Southern California Health Institute (SOCHI),North Hollywood,CA,91601-3100
Mesivta Keser Torah,Belmar,NJ,07719-2409
Long Island Nail & Skin Care Institute,Levittown,NY,11756-1316
Cinta Aveda Institute,San Francisco,CA,94108-3204
United Beauty College,Denver,CO,80223-2936
Entourage Institute of Beauty and Esthetics,Lenexa,KS,66215-3803
North American College,Houston,TX,77038-0000
Advanced College of Cosmetology,Waupun,WI,53963-0000
Hands-on Medical Massage School,Redlands,CA,92373-6271
Atelier Esthetique Institute of Esthetics,New York,NY,10016-8804
Simmons College of Kentucky,Louisville,KY,40203-3322
Buckner Barber School,Dallas,TX,75217-1775
Lindsey Institute of Cosmetology,Bowling Green,KY,42103-8036
Pure Aesthetics,Tucson,AZ,85711-2328
Capilo School of Hair Design,Augusta,ME,04330-0000
Real Barbers College (The),Anaheim,CA,92805-2533
Pima Medical Institute-South Denver,Denver,CO,80231-0000
American Health Institute,Port Richey,FL,34654-3743
Progressive Training Centers,Pompano Beach,FL,33060-9238
D'Shaw Institute of Cosmetology,Boise,ID,83704-4406
Bergin University of Canine Studies,Santa Rosa,CA,95407-6834
Twin Rivers Adult School,North Highlands,CA,95660-5523
American Technical Institute,Bayamon,PR,00957-0000
