player,team,conference
Trey Payne,Georgia State,Sun Belt
Joshua Allen,Miami (OH),Mid-American
Brandon Lewis,Arkansas,SEC
Darren Woods Jr.,UNLV,Mountain West
Thomas Owens,Florida International,Conference USA
Jalen Brown,Oregon,Pac-12
Craig Scott,Navy,American Athletic
Robert Morgan,North Carolina,ACC
Jay Roberson,Central Michigan,Mid-American
Tre Hartley,San José State,Mountain West
Donald De La Haye,UCF,American Athletic
" Team",Miami (OH),Mid-American
LaQuvionte Gonzalez,Kansas,Big 12
Darrell Taylor,Tennessee,SEC
Toneo Gulley,Navy,American Athletic
Kent Perkins,Texas,Big 12
Jeffrey Coprich,East Carolina,American Athletic
Kyle Penniston,Wisconsin,Big Ten
Quinton Lane,South Alabama,Sun Belt
Trevor Thomas,Central Michigan,Mid-American
Rayshad Lewis,Utah State,Mountain West
Deandre Baker,Georgia,SEC
Richie James,Middle Tennessee,Conference USA
Davontae Ginwright,Western Michigan,Mid-American
Drake Davis,LSU,SEC
Darren Carrington II,Oregon,Pac-12
Keion Davis,Marshall,Conference USA
Jordan Fuller,Ohio State,Big Ten
Branden Leon,Arizona,Pac-12
Ruben Garnett,Middle Tennessee,Conference USA
Kylen Towner,Western Kentucky,Conference USA
Steven Claude,Wake Forest,ACC
Austin Duke,Charlotte,Conference USA
Josh Burrell,Houston,American Athletic
" Team",Northwestern,Big Ten
Vance Matthews,Rutgers,Big Ten
Matthew Draper,Cincinnati,American Athletic
Stacy Thomas,Louisville,ACC
David Eldridge,Virginia,ACC
Kaleb Moore,Baylor,Big 12
Reuben Mwehla,Idaho,Sun Belt
Shawn Boone,NC State,ACC
Malik Harrison,Ohio State,Big Ten
Trevorris Johnson,TCU,Big 12
Luke Gifford,Nebraska,Big Ten
Rashad Roundtree,Georgia,SEC
Jacoby Wildman,Utah State,Mountain West
Kody Walker,Arkansas,SEC
Tron Folsom,Troy,Sun Belt
Terence Williams,Baylor,Big 12
Shane Buechele,Texas,Big 12
Grayland Arnold,Baylor,Big 12
Jamshyer McUmber,Old Dominion,Conference USA
Steven Holman,UT San Antonio,Conference USA
Brian Peavy,Iowa State,Big 12
Alex Mut,South Florida,American Athletic
Tyre'oune Holmes,Southern Mississippi,Conference USA
Sony Michel,Georgia,SEC
Cody Poock,Minnesota,Big Ten
Deontay Burnett,USC,Pac-12
D'Ondre Glenn,Georgia Southern,Sun Belt
Adly Enoicy,Syracuse,ACC
Cameron MacPherson,Syracuse,ACC
Justice Hill,Oklahoma State,Big 12
Xavier Woods,Louisiana Tech,Conference USA
Ryan Reid,Baylor,Big 12
Rayshad Jackson,Florida,SEC
Jarvion Franklin,Western Michigan,Mid-American
Alex Manigo,San José State,Mountain West
Grant Powell,South Alabama,Sun Belt
Matt Breida,Georgia Southern,Sun Belt
Kevin Givens,Penn State,Big Ten
Josh Cabrera,North Carolina,ACC
Jonathan Wilson,Memphis,American Athletic
Jalyn Holmes,Ohio State,Big Ten
Marquis Zimmerman,Bowling Green,Mid-American
Jordon Vaden,Colorado State,Mountain West
Korrin Wiggins,Clemson,ACC
Austin Hays,Oklahoma State,Big 12
Eddie Sinegal,UTEP,Conference USA
Donovan Wilson,Bowling Green,Mid-American
Khalfani Muhammad,California,Pac-12
Chase Hatada,Boise State,Mountain West
Bryson Allen-Williams,South Carolina,SEC
Isaiah Armstrong,BYU,FBS Independents
Kalei Meyer,Nevada,Mountain West
Malik Rosier,Miami,ACC
Martin Nwakamma,Rice,Conference USA
Jarvis Baxter,Oklahoma,Big 12
Ejuan Price,Pittsburgh,ACC
Jessie Bates III,Wake Forest,ACC
Joseph Melo,San José State,Mountain West
Jarrison Stewart,TCU,Big 12
Charleston White,Washington State,Pac-12
Hayden Moore,Cincinnati,American Athletic
Grant Niemiec,Miami (OH),Mid-American
Rhett Almond,BYU,FBS Independents
Josh Glanton,Florida International,Conference USA
Sojourn Shelton,Wisconsin,Big Ten
Jachai Polite,Florida,SEC
Tyrique Jarrett,Pittsburgh,ACC
Arion Worthman,Air Force,Mountain West
Justin Holman,UCF,American Athletic
Alex Delton,Kansas State,Big 12
Luke McNitt,Nebraska,Big Ten
Nigel Kilby,Eastern Michigan,Mid-American
Joe Brown,Western Kentucky,Conference USA
Josh Walker Smith,Tennessee,SEC
Sam Brunner,Ball State,Mid-American
Malik Dear,Mississippi State,SEC
ArDarius Stewart,Alabama,SEC
Standish Dobard,Miami,ACC
Shayne Davern,Air Force,Mountain West
Ryan White,Vanderbilt,SEC
Justin Arndt,West Virginia,Big 12
Troy McCormick Jr.,Utah,Pac-12
Taylor Martin,Kansas,Big 12
Zach Boden,Duke,ACC
DeMarcus Lloyd,Akron,Mid-American
Josiah Tauaefa,UT San Antonio,Conference USA
Charles Walker,Kentucky,SEC
David Eldridge,Virginia,ACC
Darrell Williams,Auburn,SEC
Jamir Jones,Notre Dame,FBS Independents
Marcus Green,Louisiana Monroe,Sun Belt
Cody Carriger,Oregon,Pac-12
Quin Blanding,Virginia,ACC
Merrill Taliauli,BYU,FBS Independents
Dominic McDonald,Duke,ACC
Maaseiah Francis,South Alabama,Sun Belt
Gump Hayes,Arizona State,Pac-12
Connor Prevost,Clemson,ACC
Brett Kean,South Florida,American Athletic
Lubern Figaro,Wisconsin,Big Ten
Dakota Cox,New Mexico,Mountain West
Andy Flusche,North Texas,Conference USA
Dejon Allen,Hawai'i,Mountain West
Eddie Sinegal,UTEP,Conference USA
Brandon Reilly,Nebraska,Big Ten
