i_id,Institution,Location,Enrollment,Endowment (millions),Nickname,Conference,c_id
1228,Baylor University,"Waco, Texas","20,626","$1,850 ",Bears,Big 12,6784
5388,Iowa State University,"Ames, Iowa","35,000","$1,102 ",Cyclones,Big 12,6784
5655,Kansas State University,"Manhattan, Kansas","22,221",$510 ,Wildcats,Big 12,6784
8002,Oklahoma State University,"Stillwater, Oklahoma","25,295","$1,210 ",Cowboys/Cowgirls,Big 12,6784
10559,Texas Christian University,"Fort Worth, Texas","11,379","$1,710 ",Horned Frogs,Big 12,6784
10578,Texas Tech University,"Lubbock, Texas","40,322","$1,320 ",Red Raiders,Big 12,6784
11369,University of Kansas,"Lawrence, Kansas","28,423","$1,820 ",Jayhawks,Big 12,6784
11514,University of Oklahoma,"Norman, Oklahoma","28,564","$1,736 ",Sooners,Big 12,6784
10802,The University of Texas at Austin,"Austin, Texas","51,832","$30,100 ",Longhorns,Big 12,6784
12284,West Virginia University,"Morgantown, West Virginia","26,269",$590 ,Mountaineers,Big 12,6784
11313,University of Florida,"Gainesville, Florida","53,481","$2,300.00 ",Gators,SEC,8588
11320,University of Georgia,"Athens, Georgia","39,147","$1,400.00 ",Bulldogs,SEC,8588
11374,University of Kentucky,"Lexington, Kentucky","31,057","$1,300.00 ",Wildcats,SEC,8588
11453,University of Missouri,"Columbia, Missouri","31,105","$1,700.00 ",Tigers,SEC,8588
11674,University of South Carolina,"Columbia, South Carolina","35,468",$800.00 ,Gamecocks,SEC,8588
11713,University of Tennessee,"Knoxville, Tennessee","30,559","$1,300.00 ",Volunteers,SEC,8588
11915,Vanderbilt University,"Nashville, Tennessee","13,537","$10,900.00 ",Commodores,SEC,8588
10771,The University of Alabama,"Tuscaloosa, Alabama","37,842",$800.00 ,Crimson Tide,SEC,8588
11186,University of Arkansas,"Fayetteville, Arkansas","29,068","$1,200.00 ",Razorbacks,SEC,8588
893,Auburn University,"Auburn, Alabama","30,737",$800.00 ,Tigers,SEC,8588
6245,Louisiana State University - Baton Rouge,"Baton Rouge, Louisiana","34,290","$1,000.00 ",Tigers,SEC,8588
11450,University of Mississippi,"Oxford, Mississippi","21,676",$700.00 ,Rebels,SEC,8588
7049,Mississippi State University,"Starkville, Mississippi","22,986",$500.00 ,Bulldogs,SEC,8588
10551,Texas A&M University,"College Station, Texas","71,109","$13,600.00 ",Aggies,SEC,8588
11257,University of Central Florida,"Orlando, Florida","68,571",$165 ,Knights,AAC,5440
11265,University of Cincinnati,"Cincinnati, Ohio","45,949","$1,453 ",Bearcats,AAC,5440
3416,East Carolina University,"Greenville, North Carolina","28,718",$213 ,Pirates,AAC,5440
11347,University of Houston,"Houston, Texas","47,090",$960 ,Cougars,AAC,5440
11435,University of Memphis,"Memphis, Tennessee","21,458",$223 ,Tigers,AAC,5440
11684,University of South Florida,"Tampa, Florida","50,830",$690 ,Bulls,AAC,5440
9934,Southern Methodist University,"Dallas, Texas","11,649","$1,660 ",Mustangs,AAC,5440
10498,Temple University,"Philadelphia, Pennsylvania","39,755",$644 ,Owls,AAC,5440
10986,Tulane University,"New Orleans, Louisiana","11,722","$1,430 ",Green Wave,AAC,5440
11728,University of Tulsa,"Tulsa, Oklahoma","3,343","$1,114 ",Golden Hurricane,AAC,5440
12374,Wichita State University,"Wichita, Kansas","15,778",$276 ,Shockers,AAC,5440
1430,Boston College,"Chestnut Hill, Massachusetts","14,513","$2,520 ",Eagles,ACC,2061
2527,Clemson University,"Clemson, South Carolina","24,387",$774 ,Tigers,ACC,2061
4033,Florida State University,"Tallahassee, Florida","41,900",$700 ,Seminoles,ACC,2061
11404,University of Louisville,"Louisville, Kentucky","22,640",$720 ,Cardinals,ACC,2061
7692,North Carolina State University - Raleigh,"Raleigh, North Carolina","35,479","$1,400 ",Wolfpack,ACC,2061
11511,University of Notre Dame,"Notre Dame, Indiana","12,292","$13,800 ",Fighting Irish,ACC,2061
10253,Syracuse University,"Syracuse, New York","22,484","$1,390 ",Orange,ACC,2061
12163,Wake Forest University,"Winston-Salem, North Carolina","8,116","$1,370 ",Demon Deacons,ACC,2061
3292,Duke University,"Durham, North Carolina","15,892","$12,700 ",Blue Devils,ACC,2061
4277,Georgia Institute of Technology,"Atlanta, Georgia","32,718","$2,170 ",Yellow Jackets,ACC,2061
11437,University of Miami,"Coral Gables, Florida","17,331","$1,050 ",Hurricanes,ACC,2061
11495,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina","29,847","$3,670 ",Tar Heels,ACC,2061
11615,University of Pittsburgh,"Pittsburgh, Pennsylvania","28,664","$4,310 ",Panthers,ACC,2061
11746,University of Virginia,"Charlottesville, Virginia","24,360","$11,700 ",Cavaliers,ACC,2061
12006,Virginia Polytechnic Institute and State University,"Blacksburg, Virginia","33,403","$1,358 ",Hokies,ACC,2061
5216,Indiana University Bloomington,"Bloomington, Indiana","42,552","$2,426 ",Hoosiers,Big Ten,7907
11423,"University of Maryland, College Park","College Park, Maryland","40,709","$1,496 ",Terrapins,Big Ten,7907
11438,University of Michigan-Ann Arbor,"Ann Arbor, Michigan","47,907","$12,477 ",Wolverines,Big Ten,7907
6916,Michigan State University,"East Lansing, Michigan","49,695","$3,069 ",Spartans,Big Ten,7907
7977,Ohio State University,"Columbus, Ohio","61,369","$5,287 ",Buckeyes,Big Ten,7907
8420,Pennsylvania State University,"University Park, Pennsylvania","45,901","$3,403 ",Nittany Lions,Big Ten,7907
9080,Rutgers University,"New Brunswick–Piscataway,","50,411","$1,484 ",Scarlet Knights,Big Ten,7907
11357,University of Illinois at Urbana-Champaign,"Urbana-Champaign, Illinois","52,331","$2,404 ",Fighting Illini,Big Ten,7907
11362,University of Iowa,"Iowa City, Iowa","30,448","$2,526 ",Hawkeyes,Big Ten,7907
11445,"University of Minnesota, Twin Cities","Minneapolis-St. Paul, Minnesota","52,017","$3,872 ",Golden Gophers,Big Ten,7907
11472,University of Nebraska - Lincoln,"Lincoln, Nebraska","25,057","$1,735 ",Cornhuskers,Big Ten,7907
