,instname,city,zip,tuition01,tuition02,tuition03,nettuition01,net_student_tuition,private03,stable_operating_rev,total03_revenue,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,total_executive_admin_managerial,total_faculty_all,full_time_employees,all_employees,salarytotal
0,Rio Grande Bible Institute,Edinburg,78539-9650,,,503608.0,476388.0,476388.0,937530.0,2845797.0,3818400.0,126.0,0.0,0.0,0.0,38.0,4.0,0.0,0.0,84.0,6.0,,7.0,15.0,
1,Sanford-Brown Institute-Austin,Austin,78753,,,416366.0,416366.0,224151.0,,417462.0,417462.0,76.0,0.0,2.0,16.0,29.0,15.0,2.0,12.0,0.0,8.0,5.0,21.0,25.0,
2,ITT Technical Institute-Waco,Waco,76706-0000,,,2514417.0,2472265.0,1330673.0,,2472265.0,2514417.0,168.0,2.0,1.0,49.0,34.0,73.0,4.0,5.0,0.0,4.0,16.0,23.0,38.0,96442.0
3,Manuel and Theresa's School of Hair Design,Victoria,77902-7076,,,266850.0,266850.0,225000.0,,290183.0,248333.0,22.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,
4,Tint School of Makeup & Cosmetology-Grand Prairie,Grand Prairie,75051-4804,,,988353.0,988353.0,754765.0,,1084755.0,851167.0,109.0,6.0,2.0,30.0,64.0,7.0,0.0,0.0,0.0,,4.0,5.0,5.0,
5,Houston Training Schools,Houston,77074-2007,,,4254788.0,4254788.0,485655.0,,4405129.0,4405129.0,202.0,0.0,2.0,82.0,115.0,3.0,0.0,0.0,0.0,2.0,9.0,14.0,16.0,
6,South University-The Art Institute of Fort Worth,Fort Worth,76116-4183,,,8276359.0,8104281.0,5581055.0,,9541681.0,8377138.0,393.0,1.0,12.0,54.0,91.0,184.0,13.0,35.0,3.0,5.0,29.0,31.0,53.0,342107.0
7,Chamberlain College of Nursing-Texas,Houston,77041,,,2484006.0,2445863.0,2047099.0,,2482214.0,2520357.0,113.0,0.0,7.0,52.0,13.0,24.0,0.0,17.0,0.0,5.0,6.0,18.0,22.0,184095.0
8,North American College,Houston,77038-0000,,,2747582.0,1271973.0,752690.0,1240581.0,6404977.0,7126275.0,169.0,0.0,2.0,48.0,29.0,25.0,3.0,3.0,59.0,11.0,15.0,31.0,37.0,410925.0
9,Buckner Barber School,Dallas,75217-1775,,,289946.0,289946.0,18880.0,,289946.0,289946.0,14.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,
