,institution
0,360 Degrees Beauty Academy
1,4-States Academy of Cosmetology
2,4-States Okmulgee Academy of Cosmetology
3,5 STAR TRAVEL CAREERS
4,A & W Healthcare Educators
5,A BOB WOOD REAL ESTATE ACADEMY
6,A Cut Above Beauty College
7,A D BARKER AND COMPANY
8,A ELGIN REAL ESTATE SCHOOL
9,A HEALING TOUCH INC SCHOOL OF MASSAGE THERAPY
10,A J EDUCATIONAL SERVICES INC
11,A PROFESSIONAL
12,A SPIRITOUCH INSTITUTE INC
13,A T Still University of Health Sciences
14,A'ARTS COLLEGE OF BEAUTY
15,A-1 TRUCK DRIVING SCHOOL
16,A-1 TRUCK DRIVING TRAINING
17,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.
18,A1 Business and Technical College
19,AAA TRAVEL ACADEMY
20,AAA TRAVEL INSTITUTE
21,AAA TRUCK DRIVER TRAINING
22,ABC Bartending School
23,ABC Beauty Academy
24,ABC Beauty College Inc
25,ABC REAL ESTATE SCHOOL
26,ABC TRAINING CENTER INC
27,ABCD LEARNINGWORKS
28,ABINGTON MEMORIAL HOSPITAL MEDICAL TECHNOLOGY PROG
29,ACADEMIC WORLD OF COSMETOLOGY
30,ACADEMICS OF FLIGHT
31,ACADEMY FOR INSTRUCTION IN MIND MOTIVATION
32,ACADEMY FOR PROFESSIONAL BARTENDING INC.
33,ACADEMY OF ANIMAL ARTS
34,ACADEMY OF BARBERING
35,ACADEMY OF CASINO CAREERS
36,ACADEMY OF COMPUTER TECHNOLOGY
37,ACADEMY OF COSMETOLOGY ARTS
38,ACADEMY OF COSMETOLOGY CAREERS
39,ACADEMY OF DOG GROOMING
40,ACADEMY OF HAIR ARTS AND DESIGN
41,ACADEMY OF HEALTH AND BEAUTY CARE
42,ACADEMY OF INTERNATIONAL BARTENDING AND CASINO DLG
43,ACADEMY OF LEARNING
44,ACADEMY OF LEARNING-WATERBURY
45,ACADEMY OF MEDICAL AND BUSINESS CAREERS
46,ACADEMY OF NAIL SCULPTURING
47,ACADEMY OF NAIL TECHNOLOGY
48,ACADEMY OF NEON GLASS AND FINE ARTS
49,ACADEMY OF PROFESSIONAL BARBERS/STYLISTS
50,ACADEMY OF PROFESSIONAL COCKTAIL SERVER AND BRTDRS
51,ACADEMY OF REAL ESTATE
52,ACADEMY OF SOMATIC HEALING ARTS
53,ACADEMY OF TRAVEL
54,ACAT
55,ACCESS INTERNATIONAL BUSINESS AND LANGUAGE INST
56,ACCESS USA TRAINING CENTER
57,ACCORDION CONCERTINA REPAIR SCHOOL
58,ACCREDITED REAL ESTATE SCHOOL
59,ACRT INSTITUTE OF ARBORICULTURE AND URBAN FORESTRY
60,ACRT Urban Forestry Training
61,ACT College
62,ACTION CAREER TRAINING
63,ACTORS CONSERVATORY
64,ACUPRESSURE INSTITUTE
65,ADAM & EVE COLLEGE OF COSMETOLOGY INC
66,ADAMS PROFESSIONAL MODELING AND FINISHING SCHOOL
67,ADDISON CAREER INC
68,ADMIRAL PEARY AREA VOCATIONAL TECHNICAL SCHOOL
