"institution","wranking","nranking","year","city","state","zip"
"Harvard University",1,1,2016,"Cambridge","MA","2138"
"Harvard University",1,1,2017,"Cambridge","MA","2138"
"Harvard University",1,1,2018,"Cambridge","MA","2138"
"Harvard University",1,1,2019,"Cambridge","MA","2138"
"Harvard University",1,1,2020,"Cambridge","MA","2138"
"Stanford University",2,2,2016,"Stanford","CA","94305"
"Stanford University",2,2,2017,"Stanford","CA","94305"
"Stanford University",2,2,2018,"Stanford","CA","94305"
"Stanford University",2,2,2019,"Stanford","CA","94305"
"Stanford University",2,2,2020,"Stanford","CA","94305"
"Princeton University",6,5,2016,"Princeton","NJ","08544-007"
"Princeton University",6,5,2017,"Princeton","NJ","08544-007"
"Princeton University",6,5,2018,"Princeton","NJ","08544-007"
"Princeton University",6,5,2019,"Princeton","NJ","08544-007"
"Princeton University",6,5,2020,"Princeton","NJ","08544-007"
"California Institute of Technology",8,6,2016,"Pasadena","CA","91125"
"California Institute of Technology",8,7,2020,"Pasadena","CA","91125"
"California Institute of Technology",9,7,2017,"Pasadena","CA","91125"
"California Institute of Technology",9,7,2018,"Pasadena","CA","91125"
"California Institute of Technology",9,7,2019,"Pasadena","CA","91125"
"University of Chicago",10,8,2016,"Chicago","IL","60637"
"University of Chicago",10,8,2017,"Chicago","IL","60637"
"University of Chicago",10,8,2018,"Chicago","IL","60637"
"University of Chicago",10,8,2019,"Chicago","IL","60637"
"University of Chicago",10,8,2020,"Chicago","IL","60637"
"Yale University",11,9,2016,"New Haven","CT","6520"
"Yale University",11,9,2017,"New Haven","CT","6520"
"Yale University",11,9,2019,"New Haven","CT","6520"
"Yale University",11,9,2020,"New Haven","CT","6520"
"Cornell University",12,10,2018,"Ithaca","NY","14853"
"Yale University",12,10,2018,"New Haven","CT","6520"
"Cornell University",12,10,2020,"Ithaca","NY","14853"
"Cornell University",13,11,2016,"Ithaca","NY","14853"
"Cornell University",13,11,2019,"Ithaca","NY","14853"
"Cornell University",14,12,2017,"Ithaca","NY","14853"
"Johns Hopkins University",15,12,2020,"Baltimore","MD","21218-268"
"Johns Hopkins University",16,14,2016,"Baltimore","MD","21218-268"
"University of Pennsylvania",16,14,2018,"Philadelphia","PA","19104-630"
"Johns Hopkins University",16,13,2019,"Baltimore","MD","21218-268"
"University of Pennsylvania",17,14,2017,"Philadelphia","PA","19104-630"
"University of Pennsylvania",17,14,2019,"Philadelphia","PA","19104-630"
"University of Pennsylvania",18,15,2016,"Philadelphia","PA","19104-630"
"Johns Hopkins University",18,15,2017,"Baltimore","MD","21218-268"
"Johns Hopkins University",18,15,2018,"Baltimore","MD","21218-268"
"University of Pennsylvania",19,15,2020,"Philadelphia","PA","19104-630"
"University of Michigan-Ann Arbor",20,16,2019,"Ann Arbor","MI","48109"
"Northwestern University",22,18,2017,"Evanston","IL","60208"
"University of Michigan-Ann Arbor",22,17,2020,"Ann Arbor","MI","48109"
"University of Michigan-Ann Arbor",23,17,2016,"Ann Arbor","MI","48109"
"University of Michigan-Ann Arbor",24,19,2017,"Ann Arbor","MI","48109"
"Duke University",25,19,2016,"Durham","NC","27708"
"Northwestern University",25,18,2018,"Evanston","IL","60208"
"Northwestern University",26,20,2016,"Evanston","IL","60208"
"Duke University",26,20,2017,"Durham","NC","27708"
"Duke University",26,19,2018,"Durham","NC","27708"
"University of Michigan-Ann Arbor",27,20,2018,"Ann Arbor","MI","48109"
"Duke University",27,19,2020,"Durham","NC","27708"
"New York University",27,19,2020,"New York","NY","10012-109"
"Duke University",28,20,2019,"Durham","NC","27708"
"New York University",29,22,2016,"New York","NY","10012-109"
"New York University",29,22,2017,"New York","NY","10012-109"
"Northwestern University",29,21,2019,"Evanston","IL","60208"
"University of North Carolina at Chapel Hill",30,22,2018,"Chapel Hill","NC","27599"
"Rockefeller University",30,22,2018,"New York","NY","10021-639"
"New York University",30,22,2019,"New York","NY","10012-109"
"University of North Carolina at Chapel Hill",30,21,2020,"Chapel Hill","NC","27599"
