University,State,Zip Code,World Ranking,National Ranking,Year,Coeficient
Amherst College,MA,01002-500,701,172,2019,4
Amherst College,MA,01002-500,801,182,2020,3
Arizona State University,AZ,85287,101,51,2016,6
Arizona State University,AZ,85287,101,49,2017,6
Arizona State University,AZ,85287,101,47,2018,6
Arizona State University,AZ,85287,101,46,2019,6
Arizona State University,AZ,85287,101,42,2020,6
Auburn University,AL,36849,501,138,2019,4
Auburn University,AL,36849,501,134,2020,4
Baylor College of Medicine,TX,77030-349,101,51,2016,6
Baylor College of Medicine,TX,77030-349,101,49,2017,6
Baylor College of Medicine,TX,77030-349,101,47,2018,6
Baylor College of Medicine,TX,77030-349,101,46,2019,6
Baylor College of Medicine,TX,77030-349,151,57,2020,6
Baylor University,TX,76798,501,138,2019,4
Baylor University,TX,76798,501,134,2020,4
Boise State University,ID,83725,801,182,2020,3
Boston College,MA,2467,301,99,2016,5
Boston College,MA,2467,301,100,2017,5
Boston College,MA,2467,301,96,2018,5
Boston College,MA,2467,401,117,2019,4
Boston College,MA,2467,501,134,2020,4
Boston University,MA,2215,75,39,2016,7
Boston University,MA,2215,80,40,2017,7
Boston University,MA,2215,70,34,2018,7
Boston University,MA,2215,76,36,2019,7
Boston University,MA,2215,90,38,2020,7
Brandeis University,MA,02454-911,201,72,2016,5
Brandeis University,MA,02454-911,301,100,2017,5
Brandeis University,MA,02454-911,201,70,2018,5
Brandeis University,MA,02454-911,301,95,2019,5
Brandeis University,MA,02454-911,301,95,2020,5
Brescia University,KY,42301-302,601,25,2019,4
Brescia University,KY,42301-302,701,31,2020,4
Brigham Young University,UT,84602,401,120,2016,4
Brigham Young University,UT,84602,301,100,2017,5
Brigham Young University,UT,84602,401,118,2018,4
Brigham Young University,UT,84602,401,117,2019,4
Brigham Young University,UT,84602,401,115,2020,4
Brown University,RI,2912,90,45,2016,7
Brown University,RI,2912,101,49,2017,6
Brown University,RI,2912,101,47,2018,6
Brown University,RI,2912,84,38,2019,7
Brown University,RI,2912,101,42,2020,6
California Institute of Technology,CA,91125,8,6,2016,9
