player_id,Pick,Round,Year,College,Conference,State,Coeficient
100,1,1,2016,"University of California, Berkeley",PAC-12,CA,10
359,1,1,2017,Texas A&M University,SEC,TX,10
618,1,1,2018,University of Oklahoma,Big 12,OK,10
880,1,1,2019,University of Oklahoma,Big 12,OK,10
1140,1,1,2020,Louisiana State University - Baton Rouge,SEC,LA,10
101,2,1,2016,University of North Dakota,MVFC,ND,10
360,2,1,2017,University of North Carolina at Greensboro,SoCon,NC,10
619,2,1,2018,Pennsylvania State University,Big Ten,PA,10
881,2,1,2019,Ohio State University,Big Ten,OH,10
1141,2,1,2020,Ohio State University,Big Ten,OH,10
102,3,1,2016,Ohio State University,Big Ten,OH,10
361,3,1,2017,Stanford University,PAC-12,CA,10
620,3,1,2018,University of South Carolina,SEC,SC,10
882,3,1,2019,The University of Alabama,SEC,AL,10
1142,3,1,2020,Ohio State University,Big Ten,OH,10
103,4,1,2016,Ohio State University,Big Ten,OH,10
362,4,1,2017,Louisiana State University - Baton Rouge,SEC,LA,10
621,4,1,2018,Ohio State University,Big Ten,OH,10
883,4,1,2019,Clemson University,ACC,SC,10
1143,4,1,2020,University of Georgia,SEC,GA,10
104,5,1,2016,Florida State University,ACC,FL,10
622,5,1,2018,North Carolina State University - Raleigh,ACC,NC,10
884,5,1,2019,Louisiana State University - Baton Rouge,SEC,LA,10
1144,5,1,2020,The University of Alabama,SEC,AL,10
105,6,1,2016,University of Notre Dame,ACC,IN,9
364,6,1,2017,Louisiana State University - Baton Rouge,SEC,LA,9
623,6,1,2018,University of Notre Dame,ACC,IN,9
885,6,1,2019,Duke University,ACC,NC,9
1145,6,1,2020,University of Oregon,PAC-12,OR,9
106,7,1,2016,University of Oregon,PAC-12,OR,9
365,7,1,2017,Clemson University,ACC,SC,9
624,7,1,2018,University of Wyoming,MW,WY,9
886,7,1,2019,University of Kentucky,SEC,KY,9
1146,7,1,2020,Auburn University,SEC,AL,9
107,8,1,2016,Michigan State University,Big Ten,MI,9
366,8,1,2017,Stanford University,PAC-12,CA,9
625,8,1,2018,University of Georgia,SEC,GA,9
887,8,1,2019,University of Iowa,Big Ten,IA,9
1147,8,1,2020,Clemson University,ACC,SC,9
108,9,1,2016,University of Georgia,SEC,GA,9
367,9,1,2017,University of Washington,PAC-12,WA,9
626,9,1,2018,University of Notre Dame,ACC,IN,9
888,9,1,2019,University of Houston,AAC,TX,9
1148,9,1,2020,Florida State University,ACC,FL,9
109,10,1,2016,Ohio State University,Big Ten,OH,9
368,10,1,2017,Texas Tech University,Big 12,TX,9
627,10,1,2018,"University of California, Los Angeles",PAC-12,CA,9
889,10,1,2019,University of Michigan-Ann Arbor,Big Ten,MI,9
1149,10,1,2020,The University of Alabama,SEC,AL,9
110,11,1,2016,Florida State University,ACC,FL,8
369,11,1,2017,Ohio State University,Big Ten,OH,8
628,11,1,2018,The University of Alabama,SEC,AL,8
890,11,1,2019,The University of Alabama,SEC,AL,8
1150,11,1,2020,University of Louisville,ACC,KY,8
111,12,1,2016,University of Louisville,ACC,KY,8
370,12,1,2017,Clemson University,ACC,SC,8
629,12,1,2018,University of Washington,PAC-12,WA,8
891,12,1,2019,University of Michigan-Ann Arbor,Big Ten,MI,8
1151,12,1,2020,The University of Alabama,SEC,AL,8
112,13,1,2016,University of Mississippi,SEC,MS,8
371,13,1,2017,Temple University,AAC,PA,8
630,13,1,2018,The University of Alabama,SEC,AL,8
892,13,1,2019,Clemson University,ACC,SC,8
1152,13,1,2020,University of Iowa,Big Ten,IA,8
113,14,1,2016,West Virginia University,Big 12,WV,8
372,14,1,2017,University of Tennessee,SEC,TN,8
631,14,1,2018,The University of Texas at San Antonio,C-USA,TX,8
893,14,1,2019,Boston College,ACC,MA,8
1153,14,1,2020,University of South Carolina,SEC,SC,8
114,15,1,2016,Baylor University,Big 12,TX,8
373,15,1,2017,Ohio State University,Big Ten,OH,8
632,15,1,2018,"University of California, Los Angeles",PAC-12,CA,8
894,15,1,2019,Ohio State University,Big Ten,OH,8
1154,15,1,2020,The University of Alabama,SEC,AL,8
115,16,1,2016,Ohio State University,Big Ten,OH,8
374,16,1,2017,The University of Alabama,SEC,AL,8
633,16,1,2018,Virginia Polytechnic Institute and State University,ACC,VA,8
895,16,1,2019,Florida State University,ACC,FL,8
1155,16,1,2020,Clemson University,ACC,SC,8
116,17,1,2016,Florida State University,ACC,FL,8
375,17,1,2017,The University of Alabama,SEC,AL,8
634,17,1,2018,Florida State University,ACC,FL,8
896,17,1,2019,Clemson University,ACC,SC,8
1156,17,1,2020,University of Oklahoma,Big 12,OK,8
117,18,1,2016,The University of Alabama,SEC,AL,8
376,18,1,2017,University of South Carolina,SEC,SC,8
635,18,1,2018,University of Louisville,ACC,KY,8
897,18,1,2019,North Carolina State University - Raleigh,ACC,NC,8
1157,18,1,2020,University of South Carolina,SEC,SC,8
118,19,1,2016,Clemson University,ACC,SC,8
377,19,1,2017,The University of Alabama,SEC,AL,8
636,19,1,2018,Boise State University,MW,ID,8
898,19,1,2019,Mississippi State University,SEC,MS,8
1158,19,1,2020,Ohio State University,Big Ten,OH,8
119,20,1,2016,Ohio State University,Big Ten,OH,8
378,20,1,2017,University of Utah,PAC-12,UT,8
637,20,1,2018,University of Arkansas,SEC,AR,8
899,20,1,2019,University of Iowa,Big Ten,IA,8
1159,20,1,2020,Louisiana State University - Baton Rouge,SEC,LA,8
120,21,1,2016,University of Notre Dame,ACC,IN,8
379,21,1,2017,Florida State University,ACC,FL,8
638,21,1,2018,Ohio State University,Big Ten,OH,8
900,21,1,2019,"University of Maryland, College Park",Big Ten,MD,8
1160,21,1,2020,Texas Christian University,Big 12,TX,8
121,22,1,2016,Texas Christian University,Big 12,TX,8
380,22,1,2017,University of Missouri,SEC,MS,8
639,22,1,2018,The University of Alabama,SEC,AL,8
901,22,1,2019,Washington State University,PAC-12,WA,8
1161,22,1,2020,Louisiana State University - Baton Rouge,SEC,LA,8
122,23,1,2016,University of Mississippi,SEC,MS,8
381,23,1,2017,University of Mississippi,SEC,MS,8
640,23,1,2018,University of Georgia,SEC,GA,8
902,23,1,2019,Alabama State University,SWAC,AL,8
1162,23,1,2020,University of Oklahoma,Big 12,OK,8
123,24,1,2016,University of Houston,AAC,TX,8
382,24,1,2017,Ohio State University,Big Ten,OH,8
641,24,1,2018,"University of Maryland, College Park",Big Ten,MD,8
903,24,1,2019,The University of Alabama,SEC,AL,8
1163,24,1,2020,University of Michigan-Ann Arbor,Big Ten,MI,8
124,25,1,2016,University of Miami,ACC,FL,8
383,25,1,2017,University of Michigan-Ann Arbor,Big Ten,MI,8
642,25,1,2018,University of South Carolina,SEC,SC,8
904,25,1,2019,University of Oklahoma,Big 12,OK,8
1164,25,1,2020,Arizona State University,PAC-12,AZ,8
125,26,1,2016,University of Memphis,AAC,TN,8
384,26,1,2017,"University of California, Los Angeles",PAC-12,CA,8
643,26,1,2018,The University of Alabama,SEC,AL,8
905,26,1,2019,Mississippi State University,SEC,MS,8
1165,26,1,2020,Utah State University,MW,UT,8
126,27,1,2016,"University of California, Los Angeles",PAC-12,CA,8
385,27,1,2017,Louisiana State University - Baton Rouge,SEC,LA,8
644,27,1,2018,San Diego State University,MW,CA,8
906,27,1,2019,Mississippi State University,SEC,MS,8
1166,27,1,2020,Texas Tech University,Big 12,TX,8
127,28,1,2016,Stanford University,PAC-12,CA,8
386,28,1,2017,University of Michigan-Ann Arbor,Big Ten,MI,8
645,28,1,2018,Virginia Polytechnic Institute and State University,ACC,VA,8
907,28,1,2019,University of Notre Dame,ACC,IN,8
1167,28,1,2020,Louisiana State University - Baton Rouge,SEC,LA,8
128,29,1,2016,University of Mississippi,SEC,MS,8
