"player_id","pick","year","t_name","c_name","state"
1140,1,2020,"Louisiana State University - Baton Rouge","SEC","LA"
359,1,2017,"Texas A&M University","SEC","TX"
359,1,2017,"Texas A&M University","SEC","TX"
100,1,2016,"University of California, Berkeley","PAC-12","CA"
618,1,2018,"University of Oklahoma","Big 12","OK"
618,1,2018,"University of Oklahoma","Big 12","OK"
880,1,2019,"University of Oklahoma","Big 12","OK"
880,1,2019,"University of Oklahoma","Big 12","OK"
618,1,2018,"University of Oklahoma","Big 12","OK"
618,1,2018,"University of Oklahoma","Big 12","OK"
880,1,2019,"University of Oklahoma","Big 12","OK"
880,1,2019,"University of Oklahoma","Big 12","OK"
1141,2,2020,"Ohio State University","Big Ten","OH"
881,2,2019,"Ohio State University","Big Ten","OH"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
619,2,2018,"Pennsylvania State University","Big Ten","PA"
360,2,2017,"University of North Carolina at Greensboro","SoCon","NC"
101,2,2016,"University of North Dakota","MVFC","ND"
102,3,2016,"Ohio State University","Big Ten","OH"
1142,3,2020,"Ohio State University","Big Ten","OH"
361,3,2017,"Stanford University","PAC-12","CA"
882,3,2019,"The University of Alabama","SEC","AL"
620,3,2018,"University of South Carolina","SEC","SC"
883,4,2019,"Clemson University","ACC","SC"
362,4,2017,"Louisiana State University - Baton Rouge","SEC","LA"
621,4,2018,"Ohio State University","Big Ten","OH"
103,4,2016,"Ohio State University","Big Ten","OH"
1143,4,2020,"University of Georgia","SEC","GA"
104,5,2016,"Florida State University","ACC","FL"
884,5,2019,"Louisiana State University - Baton Rouge","SEC","LA"
622,5,2018,"North Carolina State University - Raleigh","ACC","NC"
1144,5,2020,"The University of Alabama","SEC","AL"
885,6,2019,"Duke University","ACC","NC"
364,6,2017,"Louisiana State University - Baton Rouge","SEC","LA"
623,6,2018,"University of Notre Dame","ACC","IN"
105,6,2016,"University of Notre Dame","ACC","IN"
1145,6,2020,"University of Oregon","PAC-12","OR"
1146,7,2020,"Auburn University","SEC","AL"
365,7,2017,"Clemson University","ACC","SC"
886,7,2019,"University of Kentucky","SEC","KY"
106,7,2016,"University of Oregon","PAC-12","OR"
624,7,2018,"University of Wyoming","MW","WY"
1147,8,2020,"Clemson University","ACC","SC"
107,8,2016,"Michigan State University","Big Ten","MI"
366,8,2017,"Stanford University","PAC-12","CA"
625,8,2018,"University of Georgia","SEC","GA"
887,8,2019,"University of Iowa","Big Ten","IA"
1148,9,2020,"Florida State University","ACC","FL"
108,9,2016,"University of Georgia","SEC","GA"
