,player_id,pick,year,t_name,c_name,state
0,1140,1,2020,Louisiana State University - Baton Rouge,SEC,LA
1,359,1,2017,Texas A&M University,SEC,TX
3,100,1,2016,"University of California, Berkeley",PAC-12,CA
4,618,1,2018,University of Oklahoma,Big 12,OK
6,880,1,2019,University of Oklahoma,Big 12,OK
12,1141,2,2020,Ohio State University,Big Ten,OH
13,881,2,2019,Ohio State University,Big Ten,OH
14,619,2,2018,Pennsylvania State University,Big Ten,PA
26,360,2,2017,University of North Carolina at Greensboro,SoCon,NC
27,101,2,2016,University of North Dakota,MVFC,ND
28,102,3,2016,Ohio State University,Big Ten,OH
29,1142,3,2020,Ohio State University,Big Ten,OH
30,361,3,2017,Stanford University,PAC-12,CA
31,882,3,2019,The University of Alabama,SEC,AL
32,620,3,2018,University of South Carolina,SEC,SC
33,883,4,2019,Clemson University,ACC,SC
34,362,4,2017,Louisiana State University - Baton Rouge,SEC,LA
35,621,4,2018,Ohio State University,Big Ten,OH
36,103,4,2016,Ohio State University,Big Ten,OH
37,1143,4,2020,University of Georgia,SEC,GA
38,104,5,2016,Florida State University,ACC,FL
39,884,5,2019,Louisiana State University - Baton Rouge,SEC,LA
40,622,5,2018,North Carolina State University - Raleigh,ACC,NC
41,1144,5,2020,The University of Alabama,SEC,AL
42,885,6,2019,Duke University,ACC,NC
43,364,6,2017,Louisiana State University - Baton Rouge,SEC,LA
44,623,6,2018,University of Notre Dame,ACC,IN
45,105,6,2016,University of Notre Dame,ACC,IN
46,1145,6,2020,University of Oregon,PAC-12,OR
47,1146,7,2020,Auburn University,SEC,AL
48,365,7,2017,Clemson University,ACC,SC
49,886,7,2019,University of Kentucky,SEC,KY
50,106,7,2016,University of Oregon,PAC-12,OR
51,624,7,2018,University of Wyoming,MW,WY
52,1147,8,2020,Clemson University,ACC,SC
53,107,8,2016,Michigan State University,Big Ten,MI
54,366,8,2017,Stanford University,PAC-12,CA
55,625,8,2018,University of Georgia,SEC,GA
56,887,8,2019,University of Iowa,Big Ten,IA
57,1148,9,2020,Florida State University,ACC,FL
58,108,9,2016,University of Georgia,SEC,GA
59,888,9,2019,University of Houston,AAC,TX
60,626,9,2018,University of Notre Dame,ACC,IN
61,367,9,2017,University of Washington,PAC-12,WA
66,109,10,2016,Ohio State University,Big Ten,OH
67,368,10,2017,Texas Tech University,Big 12,TX
68,1149,10,2020,The University of Alabama,SEC,AL
69,627,10,2018,"University of California, Los Angeles",PAC-12,CA
72,889,10,2019,University of Michigan-Ann Arbor,Big Ten,MI
73,110,11,2016,Florida State University,ACC,FL
74,369,11,2017,Ohio State University,Big Ten,OH
75,628,11,2018,The University of Alabama,SEC,AL
76,890,11,2019,The University of Alabama,SEC,AL
77,1150,11,2020,University of Louisville,ACC,KY
78,370,12,2017,Clemson University,ACC,SC
79,1151,12,2020,The University of Alabama,SEC,AL
80,111,12,2016,University of Louisville,ACC,KY
81,891,12,2019,University of Michigan-Ann Arbor,Big Ten,MI
82,629,12,2018,University of Washington,PAC-12,WA
87,892,13,2019,Clemson University,ACC,SC
88,371,13,2017,Temple University,AAC,PA
89,630,13,2018,The University of Alabama,SEC,AL
90,1152,13,2020,University of Iowa,Big Ten,IA
91,112,13,2016,University of Mississippi,SEC,MS
92,893,14,2019,Boston College,ACC,MA
93,631,14,2018,The University of Texas at San Antonio,C-USA,TX
96,1153,14,2020,University of South Carolina,SEC,SC
97,372,14,2017,University of Tennessee,SEC,TN
101,113,14,2016,West Virginia University,Big 12,WV
102,114,15,2016,Baylor University,Big 12,TX
103,894,15,2019,Ohio State University,Big Ten,OH
104,373,15,2017,Ohio State University,Big Ten,OH
105,1154,15,2020,The University of Alabama,SEC,AL
106,632,15,2018,"University of California, Los Angeles",PAC-12,CA
109,1155,16,2020,Clemson University,ACC,SC
110,895,16,2019,Florida State University,ACC,FL
111,115,16,2016,Ohio State University,Big Ten,OH
112,374,16,2017,The University of Alabama,SEC,AL
113,633,16,2018,Virginia Polytechnic Institute and State University,ACC,VA
114,896,17,2019,Clemson University,ACC,SC
115,634,17,2018,Florida State University,ACC,FL
116,116,17,2016,Florida State University,ACC,FL
117,375,17,2017,The University of Alabama,SEC,AL
118,1156,17,2020,University of Oklahoma,Big 12,OK
122,897,18,2019,North Carolina State University - Raleigh,ACC,NC
123,117,18,2016,The University of Alabama,SEC,AL
124,635,18,2018,University of Louisville,ACC,KY
125,1157,18,2020,University of South Carolina,SEC,SC
126,376,18,2017,University of South Carolina,SEC,SC
127,636,19,2018,Boise State University,MW,ID
128,118,19,2016,Clemson University,ACC,SC
129,898,19,2019,Mississippi State University,SEC,MS
130,1158,19,2020,Ohio State University,Big Ten,OH
131,377,19,2017,The University of Alabama,SEC,AL
132,1159,20,2020,Louisiana State University - Baton Rouge,SEC,LA
133,119,20,2016,Ohio State University,Big Ten,OH
134,637,20,2018,University of Arkansas,SEC,AR
135,899,20,2019,University of Iowa,Big Ten,IA
136,378,20,2017,University of Utah,PAC-12,UT
137,379,21,2017,Florida State University,ACC,FL
138,638,21,2018,Ohio State University,Big Ten,OH
139,1160,21,2020,Texas Christian University,Big 12,TX
140,900,21,2019,"University of Maryland, College Park",Big Ten,MD
144,120,21,2016,University of Notre Dame,ACC,IN
145,1161,22,2020,Louisiana State University - Baton Rouge,SEC,LA
146,121,22,2016,Texas Christian University,Big 12,TX
147,639,22,2018,The University of Alabama,SEC,AL
148,380,22,2017,University of Missouri,SEC,MS
149,901,22,2019,Washington State University,PAC-12,WA
150,902,23,2019,Alabama State University,SWAC,AL
151,640,23,2018,University of Georgia,SEC,GA
152,122,23,2016,University of Mississippi,SEC,MS
153,381,23,2017,University of Mississippi,SEC,MS
154,1162,23,2020,University of Oklahoma,Big 12,OK
158,382,24,2017,Ohio State University,Big Ten,OH
159,903,24,2019,The University of Alabama,SEC,AL
160,123,24,2016,University of Houston,AAC,TX
161,641,24,2018,"University of Maryland, College Park",Big Ten,MD
165,1163,24,2020,University of Michigan-Ann Arbor,Big Ten,MI
166,1164,25,2020,Arizona State University,PAC-12,AZ
167,124,25,2016,University of Miami,ACC,FL
168,383,25,2017,University of Michigan-Ann Arbor,Big Ten,MI
169,904,25,2019,University of Oklahoma,Big 12,OK
173,642,25,2018,University of South Carolina,SEC,SC
174,905,26,2019,Mississippi State University,SEC,MS
175,643,26,2018,The University of Alabama,SEC,AL
176,384,26,2017,"University of California, Los Angeles",PAC-12,CA
179,125,26,2016,University of Memphis,AAC,TN
180,1165,26,2020,Utah State University,MW,UT
181,385,27,2017,Louisiana State University - Baton Rouge,SEC,LA
182,906,27,2019,Mississippi State University,SEC,MS
