University,State,World Ranking,National Ranking,Year,Coeficient
Harvard University,MA,1,1,2016,10
Harvard University,MA,1,1,2017,10
Harvard University,MA,1,1,2018,10
Harvard University,MA,1,1,2019,10
Harvard University,MA,1,1,2020,10
Stanford University,CA,2,2,2016,10
Stanford University,CA,2,2,2017,10
Stanford University,CA,2,2,2018,10
Stanford University,CA,2,2,2019,10
Stanford University,CA,2,2,2020,10
"University of California, Berkeley",CA,3,3,2016,10
"University of California, Berkeley",CA,5,4,2017,10
"University of California, Berkeley",CA,5,4,2018,10
"University of California, Berkeley",CA,5,4,2019,10
"University of California, Berkeley",CA,5,4,2020,10
Princeton University,NJ,6,5,2016,9
Princeton University,NJ,6,5,2017,9
Princeton University,NJ,6,5,2018,9
Princeton University,NJ,6,5,2019,9
Princeton University,NJ,6,5,2020,9
California Institute of Technology,CA,8,6,2016,9
California Institute of Technology,CA,8,7,2020,9
California Institute of Technology,CA,9,7,2017,9
California Institute of Technology,CA,9,7,2018,9
California Institute of Technology,CA,9,7,2019,9
University of Chicago,IL,10,8,2016,9
University of Chicago,IL,10,8,2017,9
University of Chicago,IL,10,8,2018,9
University of Chicago,IL,10,8,2019,9
University of Chicago,IL,10,8,2020,9
Yale University,CT,11,9,2016,8
Yale University,CT,11,9,2017,8
"University of California, Los Angeles",CA,11,9,2018,8
"University of California, Los Angeles",CA,11,9,2019,8
Yale University,CT,11,9,2019,8
Yale University,CT,11,9,2020,8
"University of California, Los Angeles",CA,12,10,2016,8
"University of California, Los Angeles",CA,12,10,2017,8
Cornell University,NY,12,10,2018,8
Yale University,CT,12,10,2018,8
Cornell University,NY,12,10,2020,8
Cornell University,NY,13,11,2016,8
University of Washington,WA,13,11,2017,8
Cornell University,NY,13,11,2019,8
"University of California, Los Angeles",CA,13,11,2020,8
Cornell University,NY,14,12,2017,8
University of Washington,WA,14,12,2018,8
University of Washington,WA,14,12,2019,8
University of Washington,WA,15,13,2016,8
Johns Hopkins University,MD,15,12,2020,8
Johns Hopkins University,MD,16,14,2016,8
University of Pennsylvania,PA,16,14,2018,8
Johns Hopkins University,MD,16,13,2019,8
University of Washington,WA,16,13,2020,8
University of Pennsylvania,PA,17,14,2017,8
University of Pennsylvania,PA,17,14,2019,8
University of Pennsylvania,PA,18,15,2016,8
Johns Hopkins University,MD,18,15,2017,8
Johns Hopkins University,MD,18,15,2018,8
University of Pennsylvania,PA,19,15,2020,8
University of Michigan-Ann Arbor,MI,20,16,2019,8
Northwestern University,IL,22,18,2017,8
University of Michigan-Ann Arbor,MI,22,17,2020,8
University of Michigan-Ann Arbor,MI,23,17,2016,8
University of Michigan-Ann Arbor,MI,24,19,2017,8
Duke University,NC,25,19,2016,8
Northwestern University,IL,25,18,2018,8
Northwestern University,IL,26,20,2016,8
Duke University,NC,26,20,2017,8
Duke University,NC,26,19,2018,8
University of Michigan-Ann Arbor,MI,27,20,2018,8
University of Wisconsin - Madison,WI,27,19,2019,8
Duke University,NC,27,19,2020,8
New York University,NY,27,19,2020,8
University of Wisconsin - Madison,WI,28,21,2016,8
University of Wisconsin - Madison,WI,28,21,2017,8
University of Wisconsin - Madison,WI,28,21,2018,8
Duke University,NC,28,20,2019,8
New York University,NY,29,22,2016,8
New York University,NY,29,22,2017,8
Northwestern University,IL,29,21,2019,8
University of Illinois at Urbana-Champaign,IL,30,23,2016,8
Rockefeller University,NY,30,22,2018,8
University of North Carolina at Chapel Hill,NC,30,22,2018,8
New York University,NY,30,22,2019,8
Northwestern University,IL,30,21,2020,8
University of North Carolina at Chapel Hill,NC,30,21,2020,8
New York University,NY,32,24,2018,8
University of Wisconsin - Madison,WI,32,23,2020,8
"University of Minnesota, Twin Cities",MN,33,24,2016,8
